id;date_envois;montant;date_retrait;frais;comm_systeme;comm_exp;comm_retireur;taxe;status;code
1;2019-10-09;79654;2019-10-08;18343;73199;77969;59865;59685;Dam;Practical Fresh Pants
2;2019-10-09;14286;2019-10-08;65088;2058;5641;96990;72199;Implementation Electronics Officer;methodology Albania
3;2019-10-09;2306;2019-10-09;52477;61185;39986;13949;4666;Coordinator;Common
4;2019-10-08;61838;2019-10-09;38246;51423;98323;59241;46676;HDD;Table Small Frozen Sausages Planner
5;2019-10-08;38541;2019-10-09;1596;9767;23089;68423;24102;Bahamian Dollar Investment Account;Games Regional Digitized
6;2019-10-08;75536;2019-10-09;42515;52006;20794;54671;56770;Industrial;connect Markets Chief
7;2019-10-09;72727;2019-10-08;32654;8849;57044;19598;52083;Tactics;scale interactive generating
8;2019-10-09;96525;2019-10-09;60703;54269;27599;14092;29627;Car Industrial deliverables;orange Books
9;2019-10-08;19884;2019-10-08;71134;72900;79017;77127;60595;Identity;Frozen IB
10;2019-10-09;44945;2019-10-09;9541;6355;37081;31098;66884;payment;withdrawal COM
